#0-rmin 2-rmax 3-e 
5.1097 9.32098 0.291829 
8.31937 9.63394 0.0732215 
6.97507 8.92811 0.122808 
7.60477 9.35196 0.103038 
4.26482 6.25197 0.18895 
6.02149 7.22015 0.0905221 
5.6921 7.74485 0.152769 
8.42953 9.91848 0.0811507 
6.29286 8.80976 0.166653 
7.7219 9.2767 0.0914663 
6.9703 12.2542 0.274852 
7.42916 10.4393 0.168462 
5.90218 8.26402 0.166723 
4.60856 6.57204 0.175615 
8.10279 10.2393 0.116482 
7.28615 9.71768 0.142999 
6.17453 7.24415 0.0797113 
6.32016 8.9571 0.172606 
5.47963 6.42278 0.0792406 
7.46329 11.5266 0.213972 
7.39418 10.4021 0.169018 
6.09341 8.6728 0.174682 
5.6552 8.05693 0.175153 
7.86314 9.53885 0.0962936 
6.0144 10.0219 0.249901 
6.54224 10.1933 0.218163 
5.50948 7.27352 0.137999 
5.22694 6.72532 0.125364 
6.8093 10.6096 0.21817 
8.61088 16.2607 0.307574 
9.05581 10.7471 0.0854051 
5.08195 7.44326 0.188525 
8.15895 9.16438 0.058039 
6.14117 6.6885 0.0426614 
5.47653 8.70208 0.227494 
6.31466 9.21861 0.18695 
6.03143 8.4886 0.169226 
7.64236 8.3734 0.0456454 
6.53942 7.42449 0.063382 
8.20257 10.8674 0.13974 
6.88293 10.2293 0.195553 
5.52082 6.97745 0.116546 
6.9978 9.17779 0.134771 
7.04799 8.65527 0.102353 
7.27758 9.25521 0.119618 
6.44173 8.64284 0.145918 
5.837 7.64362 0.134016 
6.39779 8.27925 0.128191 
6.00098 7.63129 0.119591 
6.86016 8.73005 0.11994 
7.43435 13.8906 0.302755 
8.40136 12.8049 0.207654 
5.79457 7.86192 0.151382 
6.22783 7.71377 0.106583 
6.5967 12.3618 0.304089 
3.81478 8.07455 0.358285 
6.69059 9.51492 0.174282 
8.22503 13.9051 0.256668 
6.61101 9.22873 0.165263 
6.65578 9.78487 0.190327 
7.73268 9.4132 0.098013 
6.94121 7.79559 0.057976 
5.62027 7.71909 0.157341 
4.56275 7.17388 0.222477 
7.32883 8.70668 0.0859254 
5.69607 7.68998 0.148954 
6.75158 9.71369 0.179901 
8.14635 9.10464 0.0555499 
5.03365 6.02297 0.0894784 
5.31893 7.36403 0.161248 
5.98746 6.42207 0.0350218 
5.94784 10.0684 0.257272 
7.12379 9.42129 0.138863 
5.50151 8.12324 0.192424 
2.97751 7.33301 0.422433 
4.99786 6.92551 0.16167 
5.61208 8.09867 0.18136 
5.60295 8.63743 0.21309 
9.1436 9.49409 0.0188054 
7.56084 10.8763 0.179826 
5.18414 6.03248 0.0756318 
6.67342 8.24145 0.105132 
7.75981 9.39564 0.0953531 
6.35692 9.92624 0.219204 
5.91984 8.41511 0.174069 
9.85988 16.2725 0.245389 
8.90217 9.43143 0.0288681 
8.45465 13.7585 0.238771 
